City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Samarai,PG,-10.6167,150.6667,79.83,79,38,4.9,scattered clouds
258,Upernavik,GL,72.7868,-56.1549,26.28,69,1,6.71,clear sky
259,Lerwick,GB,60.1545,-1.1494,51.8,76,84,17.16,broken clouds
260,Te Karaka,NZ,-38.4654,177.8679,55.78,89,17,2.77,few clouds
261,Saint George,US,37.1041,-113.5841,73.8,25,0,3.0,clear sky
262,Constitucion,CL,-35.3333,-72.4167,49.5,55,9,3.36,clear sky
263,Yuryev-Polskiy,RU,56.5,39.6833,65.5,84,100,5.84,overcast clouds
264,Victoria,HK,22.2855,114.1577,84.38,85,83,8.99,broken clouds
265,Luena,AO,-11.7833,19.9167,77.18,50,0,8.05,clear sky
266,Dikson,RU,73.5069,80.5464,27.79,96,100,18.41,light snow
267,Leh,IN,34.1667,77.5833,52.3,27,39,6.24,scattered clouds
268,Sibu,MY,2.3,111.8167,73.71,94,40,8.05,scattered clouds
269,Namatanai,PG,-3.6667,152.4333,77.29,79,59,1.25,broken clouds
270,Dudesti,RO,44.9,27.4333,82.98,43,59,4.0,broken clouds
271,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,69,75,8.05,broken clouds
272,Ulladulla,AU,-35.35,150.4667,38.77,75,11,9.06,few clouds
273,Farmington,US,36.7281,-108.2187,72.19,17,0,4.0,clear sky
274,Khuzhir,RU,53.1939,107.3397,43.65,73,98,9.57,overcast clouds
275,Niksar,TR,40.5917,36.9517,73.44,80,6,5.91,clear sky
276,Tagusao,PH,9.1924,117.8141,80.11,82,98,5.86,overcast clouds
277,Port Shepstone,ZA,-30.7414,30.455,63.48,49,2,8.9,clear sky
278,Santiago Del Estero,AR,-27.7951,-64.2615,58.98,37,13,5.06,few clouds
279,Nsanje,MW,-16.92,35.262,65.89,92,97,5.32,light rain
280,Thompson,CA,55.7435,-97.8558,33.96,93,100,11.5,overcast clouds
281,Itarema,BR,-2.9248,-39.9167,84.92,65,97,12.77,overcast clouds
282,Touros,BR,-5.1989,-35.4608,84.31,68,37,12.77,scattered clouds
283,Amuntai,ID,-2.4177,115.2494,75.34,91,40,1.16,scattered clouds
284,Bethel,US,41.3712,-73.414,70.52,69,20,6.91,few clouds
285,Macas,EC,-2.3167,-78.1167,74.95,73,100,3.44,overcast clouds
286,Bairnsdale,AU,-37.8333,147.6167,47.05,88,6,7.83,clear sky
287,Coahuayana,MX,18.7333,-103.6833,82.63,61,98,2.66,overcast clouds
288,Port Lincoln,AU,-34.7333,135.8667,55.08,62,100,5.95,overcast clouds
289,Yining,CN,29.0361,114.5636,73.99,97,98,1.07,overcast clouds
290,Chuy,UY,-33.6971,-53.4616,51.69,51,100,5.73,overcast clouds
291,Saint John,CA,45.2727,-66.0677,59.18,52,40,14.97,scattered clouds
292,Sembe,CG,1.6481,14.5806,75.72,93,99,2.26,light rain
293,Dutlwe,BW,-23.9833,23.9,60.01,17,0,7.02,clear sky
294,Ekhabi,RU,53.5102,142.9671,34.74,97,100,13.53,overcast clouds
295,Richards Bay,ZA,-28.783,32.0377,61.11,53,0,5.99,clear sky
296,Aklavik,CA,68.2191,-135.0107,41.0,70,75,9.22,broken clouds
297,Dagana,MR,16.5165,-15.5068,111.24,13,4,11.7,clear sky
298,Faanui,PF,-16.4833,-151.75,79.03,73,100,13.38,overcast clouds
299,Tasiilaq,GL,65.6145,-37.6368,35.76,99,100,1.25,light rain
300,Cherskiy,RU,68.75,161.3,55.33,55,100,9.42,overcast clouds
301,Tiksi,RU,71.6872,128.8694,31.1,88,100,3.38,overcast clouds
302,Aksarka,RU,66.5606,67.7975,39.67,48,82,20.62,broken clouds
303,Ayni,TJ,39.3941,68.5377,61.2,73,95,2.51,overcast clouds
304,Pisco,PE,-13.7,-76.2167,65.01,72,34,9.22,mist
305,Christchurch,NZ,-43.5333,172.6333,55.42,66,100,4.61,overcast clouds
306,Svetlaya,RU,46.5389,138.3297,44.65,91,100,5.64,overcast clouds
307,Dreux,FR,48.6667,1.25,70.34,48,21,7.52,few clouds
308,Mitu,CO,1.1983,-70.1733,71.17,100,100,0.89,overcast clouds
309,Bayan,CN,46.0833,127.4,52.07,77,51,4.47,broken clouds
310,Carballo,ES,43.213,-8.691,69.49,81,100,3.38,overcast clouds
311,Muzhi,RU,65.3667,64.6667,51.55,34,47,13.11,scattered clouds
312,Provideniya,RU,64.3833,-173.3,39.61,87,77,2.46,broken clouds
313,Vaghodia,IN,22.3,73.3833,94.86,41,22,9.22,few clouds
314,Bereda,ES,43.2686,-7.5406,62.08,78,86,8.95,overcast clouds
315,Takoradi,GH,4.8845,-1.7554,82.83,73,86,8.75,overcast clouds
316,Kieta,PG,-6.2167,155.6333,77.41,84,88,5.61,light rain
317,Maniitsoq,GL,65.4167,-52.9,39.54,69,1,6.91,clear sky
318,Karasburg,NA,-28.0167,18.75,62.33,9,0,11.18,clear sky
319,College,US,64.8569,-147.8028,58.89,59,75,4.61,broken clouds
320,Gat,IL,31.61,34.7642,79.39,100,0,12.01,clear sky
321,Buraydah,SA,26.326,43.975,102.65,6,0,11.61,clear sky
322,Lebu,CL,-37.6167,-73.65,47.46,53,40,0.58,scattered clouds
323,Shaping,CN,22.7545,112.9565,83.95,82,100,6.26,heavy intensity rain
324,Khandbari,NP,27.3747,87.2039,73.08,84,32,3.13,scattered clouds
325,Kerouane,GN,9.2667,-9.0167,91.83,36,100,8.5,overcast clouds
326,Sur,OM,22.5667,59.5289,88.11,52,0,15.43,clear sky
327,Minot,US,48.2325,-101.2963,62.82,36,0,16.11,clear sky
328,Noyabrsk,RU,63.1994,75.4507,39.22,55,99,21.34,overcast clouds
329,Vila Velha,BR,-20.3297,-40.2925,82.35,81,40,6.91,scattered clouds
330,Tezu,IN,27.9167,96.1667,74.37,96,8,4.18,light rain
331,Sandwick,GB,60.0,-1.25,51.62,82,75,18.41,broken clouds
332,Okhotsk,RU,59.3833,143.3,39.51,87,100,2.95,overcast clouds
333,Atasu,KZ,48.6814,71.6433,54.0,59,24,5.86,few clouds
334,Matamoros,MX,25.5333,-103.25,85.48,32,0,4.0,clear sky
335,Mount Isa,AU,-20.7333,139.5,64.17,48,100,9.22,overcast clouds
336,Wiarton,CA,44.7407,-81.1332,61.25,94,75,6.91,broken clouds
337,Airai,TL,-8.9266,125.4092,60.64,91,100,1.21,overcast clouds
338,Poya,NC,-21.35,165.15,73.83,90,96,3.58,overcast clouds
339,Gravdal,NO,68.1214,13.5031,58.89,55,0,14.97,clear sky
340,Pasni,PK,25.2631,63.471,82.56,83,0,19.33,clear sky
341,Isangel,VU,-19.55,169.2667,73.51,94,15,2.3,few clouds
342,Greenville,US,35.6127,-77.3663,93.13,44,0,0.0,clear sky
343,Alyangula,AU,-13.8483,136.4192,75.9,82,22,9.53,few clouds
